"Data_Status","State","MSN","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
"2013F","CT","NGPZB","51","45","41","25","45","43","27","14","41","60","73","99","673","222","221","362","658","1006","555","587","502","539","606","472","719","1178","1430","2561","854","3014","3106","3016","2576","3471","3465","3411","3262","4465","4312","5967","6910","6476","4896","4475"
"2013F","CT","NGRFB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","CT","P5RFB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","CT","PCISB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","CT","PCRFB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","CT","RFISB","86196","71191","70866","74788","63652","57365","72638","74962","82452","50404","42013","15892","19820","11103","15158","13842","14597","12455","13171","10568","8893","6223","7640","8948","8131","4746","6059","2432","1935","2543","2387","3759","2185","4805","6936","6973","3708","2471","913","1059","155","105","51","27"
"2013F","CT","RFRFB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013F","CT","SFCCB",,,,,,,,,,,"41","482","330","90","75","112","97","56","79","82","32","36","10","25","9","19","15","11","11","10","6","2","2","15","44","61","18","0","0","0","0","0","0","0"
"2013F","CT","SFINB",,,,,,,,,,,"41","436","305","85","63","86","69","40","56","52","28","44","12","29","7","16","12","9","8","7","4","1","1","9","25","35","12","0","0","0","0","0","0","0"
"2013F","CT","SFRCB",,,,,,,,,,,"65","705","471","125","100","149","138","74","114","108","41","50","14","33","9","20","16","11","9","8","5","2","2","18","54","76","22","0","0","0","0","0","0","0"
